阶段	体重	身高
出生	3.8	52.8
1月	5	57
2月	6	60.7
3月	6.9	63.7
4月	7.6	66.4
5月	8.2	68.6
6月	8.8	70.5
8月	9.8	73.6
10月	10.6	76.3
12月	11.3	78.8
15月	12	82.3
18月	12.7	85.4
21月	13.3	88.4
2岁	14	91
2.5岁	15.3	95.8
3岁	16.4	98.7
3.5岁	17.6	103.1
4岁	18.7	107.2
4.5岁	19.9	111
5岁	21.1	114.5
5.5岁	22.3	117.8
6岁	23.6	121
7岁	26.5	126.8
8岁	30	132.2
9岁	34	137.8
10岁	38.7	143.6
