stage	weight	high
0	3.8	52.8
1	5	57
2	6	60.7
3	6.9	63.7
4	7.6	66.4
5	8.2	68.6
6	8.8	70.5
7	9.8	73.6
8	10.6	76.3
9	11.3	78.8
10	12	82.3
11	12.7	85.4
12	13.3	88.4
13	14	91
14	15.3	95.8
15	16.4	98.7
16	17.6	103.1
17	18.7	107.2
18	19.9	111
19	21.1	114.5
20	22.3	117.8
21	23.6	121
22	26.5	126.8
23	30	132.2
24	34	137.8
25	38.7	143.6
