项目id	指数类型	关键词	权重
740	oshi	金钟	0.72
740	ozhi	FM	1.24
740	oshi	FM	20.96
740	ozhi	电子	25.32
740	oshi	电子	442.72
740	ozhi	管理	5.72
740	oshi	管理	15.8
740	oshi	欢快	1.08
740	ozhi	西瓜	0.16
740	oshi	西瓜	38.0
740	oshi	大提琴	0.24
740	oshi	艺术家	1.68
740	oshi	乐动	5.6
740	oshi	制作	17.0
740	oshi	时空	3.68
740	ozhi	儿童节	0.2
740	oshi	儿童节	1.84
740	ozhi	F1	1.08
740	oshi	F1	183.64
740	oshi	欧美	8.24
740	oshi	箱子	15.48
740	ozhi	动物	0.84
740	oshi	动物	74.08
740	ozhi	未知	11.24
740	oshi	未知	153.2
740	oshi	YG	11.36
740	oshi	自然	57.08
740	oshi	探戈	1.0
740	oshi	夏娃	0.12
740	oshi	阿根廷	3.04
740	oshi	贝拉	1.08
740	oshi	夏洛特	0.36
740	oshi	畅想	22.32
740	ozhi	地下室	0.16
740	oshi	地下室	2.92
740	oshi	恩师	0.56
740	oshi	大道	0.0
740	ozhi	蝴蝶	0.32
740	oshi	蝴蝶	175.16
740	oshi	仙境	0.36
740	oshi	布头	6.84
740	oshi	彼得	0.56
740	ozhi	空气	1.2
740	oshi	空气	456.8
740	oshi	全明星	0.12
740	ozhi	金曲	0.08
740	ozhi	现场	5.04
740	oshi	现场	3.8
740	oshi	原生态	7.68
740	ozhi	FUN	0.72
740	oshi	FUN	1.84
740	oshi	非诚	0.36
740	ozhi	速度	0.24
740	oshi	速度	27.04
740	ozhi	花园	1.16
740	oshi	花园	28.72
740	oshi	百搭	7.96
740	oshi	昔日	0.32
740	ozhi	摇摆	0.12
740	oshi	摇摆	1.08
740	oshi	青年	25.28
740	ozhi	情感	0.36
740	ozhi	超级	0.92
740	oshi	超级	79.24
740	oshi	即刻	23.84
740	oshi	魅影	10.8
740	oshi	喜乐	0.16
740	oshi	勇士	10.36
740	oshi	合家欢	2.0
740	oshi	柔情	12.56
740	ozhi	家庭	10.56
740	oshi	家庭	156.56
740	oshi	摩天轮	5.28
740	ozhi	天使	0.64
740	oshi	天使	52.4
740	ozhi	礼物	26.76
740	oshi	礼物	95.4
740	oshi	九宫格	0.72
740	oshi	细胞	0.4
740	oshi	安徒生	0.0
740	oshi	BLUE	0.48
740	oshi	Classical	0.12
740	oshi	惠民	0.24
740	oshi	周年	8.08
740	oshi	民族	6.6
740	oshi	晚上	1.32
740	oshi	穿越	1.52
740	oshi	红牛	105.96
740	oshi	单人	94.92
740	ozhi	博士	0.12
740	oshi	博士	70.68
740	oshi	我爱你	3.12
740	ozhi	白雪公主	0.6
740	oshi	白雪公主	4.6
740	ozhi	运动	31.92
740	oshi	运动	137.56
740	oshi	飞跃	2.6
740	oshi	不再	0.0
740	oshi	左岸	0.0
740	oshi	大兵	4.6
740	oshi	芬兰	0.24
740	oshi	主题	17.24
740	oshi	风情	23.32
740	ozhi	室内	3.72
740	oshi	室内	269.32
740	oshi	庆典	2.2
740	ozhi	玩具	54.08
740	oshi	玩具	156.64
740	oshi	EXO	0.12
740	oshi	探险	0.76
740	oshi	命运	0.12
740	oshi	貂皮	0.08
740	oshi	往事	0.32
740	oshi	不停	0.48
740	oshi	百姓	2.52
740	oshi	剑客	0.36
740	oshi	风格	36.56
740	oshi	THE	11.68
740	ozhi	教育	1.44
740	oshi	教育	0.16
740	oshi	野兽	0.36
740	ozhi	儿童音乐	0.0
740	oshi	儿童音乐	0.68
740	ozhi	新年	0.12
740	oshi	新年	39.48
740	oshi	碎片	0.24
740	ozhi	公主	8.68
740	oshi	公主	159.6
740	oshi	盛典	5.64
740	ozhi	旅游	0.36
740	oshi	旅游	86.12
740	ozhi	文化	0.0
740	oshi	文化	7.16
740	oshi	爵士	36.36
740	oshi	柏林	0.32
740	oshi	冥想	0.6
740	ozhi	小猪	0.0
740	oshi	小猪	18.2
740	ozhi	Music	0.4
740	oshi	Music	5.72
740	oshi	诗情	0.08
740	oshi	温暖	6.2
740	oshi	淡水	0.2
740	ozhi	电池	13.48
740	oshi	电池	503.2
740	ozhi	舞蹈	0.96
740	oshi	舞蹈	2.76
740	ozhi	情趣	0.96
740	oshi	情趣	1.4
740	ozhi	男女	0.88
740	oshi	男女	446.4
740	oshi	之恋	33.2
740	oshi	琴声	1.08
740	oshi	舞台	2.08
740	ozhi	韩国	6.32
740	oshi	韩国	820.56
740	oshi	希腊	0.24
740	ozhi	面包	0.24
740	oshi	面包	10.52
740	oshi	欧洲	17.2
740	ozhi	你好	1.28
740	oshi	你好	1.0
740	oshi	唱片	0.0
740	ozhi	全球	4.8
740	oshi	全球	32.72
740	oshi	印象	14.16
740	oshi	vs	0.16
740	oshi	云南	0.24
740	oshi	星期	7.12
740	oshi	越来越	0.48
740	ozhi	震撼	2.24
740	oshi	震撼	0.24
740	oshi	磁极	0.12
740	oshi	罗马	5.48
740	oshi	莫扎特	0.48
740	oshi	琳娜	0.24
740	oshi	能量	17.56
740	oshi	青蓝	6.24
740	oshi	演艺	0.16
740	oshi	手记	2.4
740	ozhi	部落	1.28
740	oshi	部落	0.44
740	oshi	亲民	0.48
740	ozhi	芝加哥	0.0
740	ozhi	演绎	9.52
740	oshi	迷笛	0.16
740	ozhi	金属	9.4
740	oshi	金属	935.84
740	oshi	场地	0.16
740	oshi	乐堡	0.0
740	oshi	边缘	16.52
740	oshi	金山	0.6
740	oshi	瑞典	5.92
740	oshi	Great	0.08
740	ozhi	萨特	0.0
740	oshi	萨特	0.16
740	oshi	百合	43.32
740	ozhi	最爱	0.12
740	oshi	最爱	1.08
740	ozhi	午夜	0.24
740	oshi	午夜	2.08
740	oshi	丛林	3.44
740	oshi	周末	0.24
740	oshi	盛宴	3.2
740	oshi	假日	3.68
740	oshi	弗罗	1.72
740	oshi	节奏	0.24
740	ozhi	玫瑰	3.04
740	oshi	玫瑰	187.2
740	oshi	相约	0.0
740	ozhi	豆豆	0.76
740	oshi	豆豆	2.84
740	oshi	洛夫	18.64
740	oshi	狐狸	10.2
740	oshi	来自	5.92
740	oshi	沙滩	26.96
740	oshi	异域	0.68
740	oshi	水晶鞋	15.8
740	oshi	英伦	110.2
740	oshi	水立方	26.76
740	oshi	辉耀	0.16
740	oshi	流淌	9.56
740	ozhi	hi	0.8
740	oshi	hi	0.48
740	oshi	Wall	1.28
740	oshi	国家	2.48
740	oshi	组合式	18.16
740	oshi	德意志	0.0
740	oshi	我心	0.68
740	oshi	倾听	0.12
740	oshi	恋上	0.48
740	oshi	Five	6.6
740	oshi	宫崎骏	2.24
740	ozhi	益智	6.4
740	oshi	益智	5.48
740	oshi	死亡	2.8
740	oshi	小黑猫	0.0
740	oshi	天下第一	1.16
740	oshi	精选	10.64
740	oshi	爱琴海	1.96
740	ozhi	春季	0.48
740	oshi	春季	8.92
784	xin	胎教音响,音响,音箱	1
784	xin	智能音箱,音响,音箱	1
784	xin	胎教音箱,音乐,音响	1
784	xin	智能,智能音响,音响,音箱	1
784	zhi	音乐	14.44
784	zhi	闹钟	3.72
784	zhi	推送	1.56
784	zhi	智能	235.44
784	zhi	语音	13.76
784	zhi	安卓	12.08
784	zhi	音箱	1.8
784	zhi	ios	8.76
784	zhi	无辐射	2.36
784	zhi	安全	5.08
784	zhi	胎教	1.04
784	zhi	正版	3.04
784	zhi	孕妇	1.12
784	zhi	环保	1.2
784	zhi	android	7.16
784	zhi	音响	2.28
784	zhi	故事	3.84
784	shi	音乐	206.84
784	shi	闹钟	19.92
784	shi	智能	1116.32
784	shi	语音	106.84
784	shi	安卓	192.32
784	shi	减震	13.72
784	shi	音箱	137.4
784	shi	硅胶	843.76
784	shi	无辐射	18.04
784	shi	安全	231.52
784	shi	正版	19.92
784	shi	孕妇	55.0
784	shi	环保	595.44
784	shi	音响	129.12
784	shi	故事	17.16
784	ozhi	卡通	0.6
784	oshi	卡通	1682.12
784	ozhi	毛绒玩具	5.28
784	oshi	毛绒玩具	4.72
784	ozhi	DJ	0.72
784	oshi	DJ	6.6
784	ozhi	男友	0.4
784	oshi	男友	1.32
784	ozhi	创意	4.4
784	oshi	创意	1432.8
784	ozhi	播放器	3.64
784	oshi	播放器	44.64
784	oshi	cd	2.36
784	oshi	九代	0.48
784	oshi	魔音	13.0
784	ozhi	FM	1.24
784	oshi	FM	20.96
784	ozhi	天蓝色	1.56
784	oshi	天蓝色	291.44
784	ozhi	礼物	26.76
784	oshi	礼物	95.4
784	ozhi	蓝牙	65.08
784	oshi	蓝牙	238.88
784	oshi	巴克	1.2
784	ozhi	父亲节	0.24
784	oshi	父亲节	5.08
784	ozhi	公仔	4.4
784	oshi	公仔	13.48
784	ozhi	女友	0.0
784	oshi	女友	6.04
784	oshi	闪耀	29.36
784	ozhi	黑色	52.0
784	oshi	黑色	3795.76
784	ozhi	生日礼物	4.12
784	oshi	生日礼物	24.16
784	ozhi	泰迪熊	0.0
784	oshi	泰迪熊	2.04
784	ozhi	壁挂式	0.16
784	oshi	壁挂式	14.8
784	ozhi	可插卡	1.92
784	oshi	可插卡	12.88
784	oshi	金东	0.12
784	ozhi	无线	132.76
784	oshi	无线	336.88
784	oshi	CD	78.76
784	ozhi	插卡	5.6
784	oshi	插卡	117.24
784	ozhi	机电	1.56
784	oshi	机电	63.88
784	ozhi	礼品	1.84
784	oshi	礼品	174.08
784	oshi	UFO	1.32
784	ozhi	厘米	0.4
784	oshi	厘米	58.68
784	ozhi	创意礼品	1.84
784	oshi	创意礼品	43.24
784	ozhi	可爱	5.64
784	oshi	可爱	1013.16
784	oshi	插手	4.84
784	oshi	SD	61.8
578	xin	手环,智能,睡眠	3
578	xin	健康,手环,运动	6
578	xin	健康,手环,智能	7
578	xin	健康手环,手环,智能,睡眠	3
578	xin	手环,时尚,智能,睡眠,运动,防水	1
578	xin	手环,睡眠,运动	2
578	xin	手环,智能,音乐	4
578	xin	手环,智能,睡眠,运动,防水	12
578	xin	睡眠,运动,防水	18
578	xin	手环,时尚,智能,运动	8
578	xin	健康手环,时尚,运动	2
578	xin	健康,时尚,运动	1
578	xin	手环,智能,运动	18
578	xin	手环,时尚,智能,运动,防水	1
578	xin	健康,手环,时尚,运动	23
578	xin	健康,心率监测,手环,智能,运动	1
578	xin	健康手环,智能,运动	6
578	xin	智能,来电提醒,睡眠,运动	1
578	xin	时尚,智能,防水	2
578	xin	手环,时尚,运动	133
578	xin	健康,手环,时尚	14
578	xin	健康,智能,运动,防水	3
578	xin	监测,睡眠,运动	7
578	xin	健康,监测,运动	1
578	xin	手环,时尚,智能	61
578	xin	手环,智能,睡眠,运动	8
578	xin	来电提醒,睡眠,运动,远程	3
578	xin	健康手环,手环,智能,睡眠,运动,防水	1
578	xin	健康,智能,防水	3
578	xin	健康,手环,智能,睡眠,运动	9
578	xin	健康手环,手环,智能	1
578	xin	健康,手环,智能,运动	8
578	xin	心率,手环,智能,监测	1
578	xin	智能,运动,防水	2
578	xin	健康手环,智能,睡眠	3
578	xin	手环,智能,运动,音乐	1
578	xin	心率,时尚,运动心率	1
578	xin	健康手环,手环,睡眠	4
578	xin	心率,手环,时尚,智能	1
578	xin	心率,心率监测,手环,智能	7
578	xin	健康手环,手环,时尚	3
578	xin	手环,智能,防水	34
578	xin	健康,手环,时尚,智能	8
578	xin	健康,智能,运动	5
578	xin	健康,睡眠,运动,防水	9
578	xin	手环,睡眠,运动,防水	3
578	xin	手环,智能,来电提醒	1
578	xin	心率,手环,智能	3
578	xin	健康,睡眠,运动	21
578	xin	健康,手环,智能,睡眠,运动,防水	1
578	xin	手环,时尚,智能,睡眠,运动	8
578	zhi	音乐	14.44
578	zhi	闹钟	3.72
578	zhi	智能	235.44
578	zhi	光电	1.48
578	zhi	来电提醒	5.12
578	zhi	来电	1.68
578	zhi	防水	25.96
578	zhi	睡眠	20.56
578	zhi	时尚	20.88
578	zhi	运动	31.92
578	zhi	手环	76.72
578	zhi	健康	28.56
578	zhi	远程	30.32
578	zhi	传感器	2.52
578	zhi	监测	6.24
578	shi	音乐	206.84
578	shi	闹钟	19.92
578	shi	智能	1116.32
578	shi	手环	44.68
578	shi	时尚	1513.24
578	shi	来电	31.72
578	shi	多彩	159.28
578	shi	运动	137.56
578	shi	睡眠	26.4
578	shi	助眠	14.88
578	shi	超长	29.24
578	shi	有氧	15.68
578	shi	健康	124.76
578	shi	防水	803.48
578	shi	远程	21.24
578	ozhi	三星	21.32
578	oshi	三星	6679.72
578	ozhi	天空	0.24
578	oshi	天空	72.8
578	ozhi	玫红色	0.72
578	oshi	玫红色	487.16
578	ozhi	专用	3.68
578	oshi	专用	1070.84
578	ozhi	健身	2.88
578	oshi	健身	7.0
578	ozhi	酷道	9.72
578	oshi	酷道	24.48
578	ozhi	Hi910G	1.96
578	ozhi	休闲	3.4
578	oshi	休闲	36.64
578	ozhi	流行	1.32
578	oshi	流行	21.4
578	ozhi	Hi900	2.64
578	oshi	带手	1.32
578	ozhi	Watch	4.32
578	oshi	Watch	0.4
578	oshi	G9	3.48
578	ozhi	手机	66.84
578	oshi	手机	12261.24
578	ozhi	Step	0.4
578	ozhi	Hi	12.16
578	oshi	Hi	0.36
578	ozhi	首选	3.12
578	oshi	首选	23.16
578	ozhi	时光	1.08
578	oshi	时光	26.8
578	ozhi	Hi910i	2.12
578	oshi	Now	0.16
578	ozhi	记录	1.6
578	oshi	记录	2.6
578	ozhi	轻松	2.32
578	oshi	轻松	52.68
578	ozhi	Apricot	0.24
578	ozhi	咕咕表（COOKOO）	1.68
578	ozhi	粉红	0.44
578	oshi	粉红	194.28
578	oshi	湖人队	0.0
578	ozhi	可插	3.76
578	oshi	可插	10.8
578	oshi	Shinco	1.6
578	ozhi	薄荷	0.36
578	oshi	薄荷	49.24
578	ozhi	不锈钢	0.72
578	oshi	不锈钢	564.16
578	ozhi	Hi999	1.68
578	oshi	风水	15.4
578	ozhi	手镯	17.56
578	oshi	手镯	13.96
578	oshi	财富	1.72
578	oshi	Paul	1.36
578	ozhi	配对	1.8
578	oshi	配对	3.4
578	ozhi	BQBQ	1.28
578	ozhi	蓝色	17.36
578	oshi	蓝色	2485.76
578	oshi	Howard	1.56
578	ozhi	山水（SANSUI）	1.36
578	oshi	MX3	372.64
578	ozhi	情侣手表	2.4
578	oshi	情侣手表	4.16
578	oshi	璇信	24.04
578	oshi	手表带	1.2
578	oshi	烙印	0.36
578	ozhi	三星（SAMSUNG）	6.52
578	oshi	三星（SAMSUNG）	42.12
578	ozhi	玫瑰	3.04
578	oshi	玫瑰	187.2
578	oshi	颈椎	63.88
578	ozhi	低价	10.96
578	oshi	低价	315.28
578	ozhi	黑色	52.0
578	oshi	黑色	3795.76
578	ozhi	Me	1.4
578	oshi	Me	0.64
578	oshi	牛皮	58.88
578	oshi	高度计	0.08
578	ozhi	韩国	6.32
578	oshi	韩国	820.56
578	oshi	灰绿色	0.92
578	ozhi	apphome	0.48
578	oshi	apphome	47.44
578	ozhi	爆品	25.64
578	oshi	爆品	371.88
578	oshi	凯尔特人	0.0
578	ozhi	紫色	3.44
578	oshi	紫色	670.44
578	ozhi	个人	1.84
578	oshi	个人	13.96
578	ozhi	系列	14.88
578	oshi	系列	4305.72
578	ozhi	MM	2.92
578	oshi	MM	178.52
578	ozhi	超薄	5.32
578	oshi	超薄	3544.48
578	oshi	巴西	9.08
578	oshi	Diweinuo	0.56
578	ozhi	彩虹	1.92
578	oshi	彩虹	130.04
578	ozhi	柠色	0.6
578	ozhi	山水	1.36
578	oshi	山水	2.88
578	ozhi	微型	4.08
578	oshi	微型	23.36
578	oshi	日本	731.4
578	ozhi	记录器	1.44
578	oshi	记录器	1.04
578	oshi	Ravello	1.68
578	ozhi	唯动	1.44
578	ozhi	表盘	0.36
578	oshi	表盘	4.2
578	oshi	环中	0.08
578	oshi	幻响（i-mu）	0.24
578	ozhi	祝福语	0.4
578	ozhi	樱草	0.4
578	oshi	樱草	1.96
578	ozhi	海军蓝	0.36
578	oshi	海军蓝	8.2
578	ozhi	接听电话	0.72
578	oshi	接听电话	32.36
578	ozhi	管理	5.72
578	oshi	管理	15.8
578	ozhi	本色	0.6
578	oshi	本色	103.36
578	oshi	EC309	0.08
578	ozhi	表可	0.24
578	ozhi	Slate	0.24
578	ozhi	发货	4.4
578	oshi	发货	189.84
578	ozhi	波兰	1.2
578	ozhi	白色	33.4
578	oshi	白色	2878.72
578	ozhi	iphone	4.12
578	oshi	iphone	424.12
578	ozhi	Misfit	2.88
578	oshi	Misfit	1.52
578	ozhi	蓝白	0.84
578	oshi	蓝白	19.68
578	oshi	iPhone4	462.92
578	ozhi	more	4.04
578	oshi	more	275.72
578	ozhi	燃烧	1.92
578	oshi	燃烧	4.96
578	ozhi	橘色	1.08
578	oshi	橘色	41.28
578	ozhi	盒装	0.24
578	oshi	盒装	288.56
578	ozhi	大号	0.2
578	oshi	大号	417.04
578	oshi	泼墨	2.32
578	ozhi	专业	1.12
578	oshi	专业	192.88
578	ozhi	耳机	2.48
578	oshi	耳机	647.48
578	oshi	录音笔	1.76
578	ozhi	独家	1.04
578	oshi	独家	58.96
578	ozhi	玫红	0.92
578	oshi	玫红	605.92
578	ozhi	mm	1.8
578	oshi	mm	1517.84
578	ozhi	Bracelet	0.4
578	oshi	保健	48.16
578	oshi	wisebrave	347.64
578	oshi	mu	0.24
578	ozhi	HUAWEI	1.68
578	oshi	HUAWEI	36.28
578	ozhi	SIM卡	5.12
578	oshi	SIM卡	18.56
578	oshi	灰白色	8.2
578	ozhi	未知	11.24
578	oshi	未知	153.2
578	oshi	疼痛	2.04
578	ozhi	信手	0.48
578	oshi	信手	0.08
578	ozhi	页岩	0.24
578	ozhi	PEEL	12.16
578	oshi	库里	0.0
578	ozhi	iPhone5	0.12
578	oshi	iPhone5	1053.68
578	ozhi	数码	12.44
578	oshi	数码	61.52
578	ozhi	配件	9.88
578	oshi	配件	1331.12
578	ozhi	均码	1.8
578	oshi	均码	158.12
578	oshi	活泼	0.24
578	oshi	购价	1.44
578	ozhi	男款	0.92
578	oshi	男款	83.12
578	ozhi	ibody	1.84
578	oshi	清远	1.2
578	ozhi	糖果色	0.24
578	oshi	糖果色	259.44
578	ozhi	SANSUI	1.36
578	oshi	畅玩版	201.84
578	ozhi	蓝牙手表	32.44
578	oshi	蓝牙手表	16.08
578	ozhi	老人	16.88
578	oshi	老人	37.8
578	oshi	iPhone4S	101.72
578	ozhi	布谷鸟	1.68
578	ozhi	watch	2.96
578	oshi	watch	1.4
578	oshi	美创	8.36
578	ozhi	监测器	0.36
578	oshi	监测器	0.72
578	oshi	轻质	1.16
578	oshi	连续	3.28
578	ozhi	腕带	10.96
578	oshi	腕带	3.44
578	ozhi	登山	1.32
578	oshi	登山	4.92
578	ozhi	fo	0.4
578	ozhi	能手	7.2
578	oshi	能手	11.16
578	oshi	女士	336.04
578	oshi	手带	6.76
578	ozhi	精美	0.08
578	oshi	精美	61.12
578	oshi	One	159.12
578	ozhi	菲尔德（Phyode）	1.4
578	ozhi	橙色	4.92
578	oshi	橙色	467.0
578	ozhi	触摸	21.56
578	oshi	触摸	15.28
578	oshi	情侣	308.68
578	ozhi	菲尔德	1.4
578	oshi	LINK	31.32
578	ozhi	COOKOO	1.68
578	ozhi	监控	27.44
578	oshi	监控	84.84
578	oshi	周长	0.0
578	oshi	气质	33.48
578	ozhi	通话	11.68
578	oshi	通话	95.12
578	oshi	孔雀绿	5.2
578	ozhi	遥控	75.6
578	oshi	遥控	126.88
578	ozhi	影音	1.72
578	oshi	影音	98.28
578	oshi	手圈	1.76
578	ozhi	青春	4.68
578	oshi	青春	127.24
578	ozhi	sibolan	1.2
578	ozhi	flex	2.76
578	ozhi	卡路里	7.32
578	oshi	卡路里	3.92
578	oshi	磁疗	5.68
578	ozhi	青色	0.84
578	oshi	青色	31.24
578	oshi	磁石	3.16
578	ozhi	享腾	0.24
578	oshi	中码	0.68
578	oshi	纯手工	18.72
578	ozhi	七夕	6.64
578	oshi	七夕	19.76
578	oshi	Naeny	42.72
578	ozhi	户外运动	0.6
578	oshi	户外运动	14.64
578	oshi	阿尔法	2.2
578	ozhi	高清	22.76
578	oshi	高清	1727.52
578	ozhi	APP	4.4
578	oshi	APP	157.76
578	ozhi	CASMELY	2.96
578	oshi	CASMELY	53.64
578	oshi	皓月	14.52
578	ozhi	质量	0.12
578	oshi	质量	7.16
578	ozhi	荣耀	1.68
578	oshi	荣耀	1002.08
578	ozhi	现代演绎	8.56
578	ozhi	负离子	0.36
578	oshi	负离子	96.6
578	oshi	球迷	0.24
578	ozhi	TB1	0.6
578	oshi	TB1	0.32
578	oshi	Rose	1.08
578	ozhi	斯波兰（sibolan）	1.2
578	ozhi	粉红色	3.32
578	oshi	粉红色	320.48
578	ozhi	Sports	0.88
578	oshi	透黑	52.12
578	ozhi	银色	6.16
578	oshi	银色	410.92
578	ozhi	More	4.0
578	oshi	More	135.52
578	ozhi	Hi777G	1.28
578	ozhi	雅帝	0.24
578	oshi	航空	30.12
578	oshi	迈凯亚	42.0
578	ozhi	经典	5.96
578	oshi	经典	457.12
578	ozhi	王子	0.12
578	oshi	王子	2.16
578	oshi	百搭	7.96
578	ozhi	疯狂	1.2
578	oshi	疯狂	7.92
578	oshi	Viken	313.52
578	oshi	小码	0.28
578	oshi	心率监测	0.0
578	ozhi	易悠	1.32
578	ozhi	大牌	10.56
578	oshi	大牌	318.28
578	ozhi	罗斯	1.32
578	oshi	DIWEINUO	1.36
578	ozhi	商务智能	0.6
578	oshi	商务智能	0.8
578	ozhi	大气	0.84
578	oshi	大气	16.36
578	ozhi	Hi-PEEL	12.16
578	ozhi	医用	0.0
578	oshi	医用	59.28
578	ozhi	心率	0.96
578	oshi	心率	6.04
578	oshi	纯洁	6.28
578	oshi	透粉	15.84
578	ozhi	儿童节礼物	1.68
578	oshi	儿童节礼物	2.6
578	ozhi	WIFI	5.96
578	oshi	WIFI	20.6
578	ozhi	thing	4.76
578	oshi	thing	276.0
578	ozhi	镯表	0.0
578	oshi	iso	0.48
578	ozhi	手表	55.4
578	oshi	手表	26.0
578	ozhi	TW810	0.48
578	oshi	TW810	1.04
578	ozhi	礼物	26.76
578	oshi	礼物	95.4
578	ozhi	苹果	19.72
578	oshi	苹果	6062.84
578	oshi	黄白色	1.36
578	ozhi	炫黑	0.84
578	oshi	炫黑	14.16
578	ozhi	唯动（vidonn）	1.32
578	oshi	铝材	6.2
578	ozhi	one	1.2
578	oshi	one	104.8
578	oshi	维肯（Viken）	313.52
578	oshi	黑门	0.0
578	ozhi	限量版	1.68
578	oshi	限量版	45.44
578	ozhi	华为（HUAWEI）	1.68
578	oshi	华为（HUAWEI）	19.24
578	ozhi	学生	4.6
578	oshi	学生	286.6
578	ozhi	X5	1.32
578	oshi	X5	57.92
578	oshi	耐翔（Naeny）	41.6
578	ozhi	Star5	2.52
578	oshi	Star5	16.92
578	ozhi	美国	1.92
578	oshi	美国	98.96
578	ozhi	小号	0.24
578	oshi	小号	557.96
578	ozhi	平衡	5.24
578	oshi	平衡	1.24
578	ozhi	支持	6.36
578	oshi	支持	457.2
578	ozhi	养生	1.4
578	oshi	养生	34.64
578	ozhi	ipad	0.36
578	oshi	ipad	922.0
578	oshi	深红	6.12
578	ozhi	橘红色	0.36
578	oshi	橘红色	6.04
578	ozhi	助手	0.36
578	oshi	助手	3.52
578	oshi	迈凯亚（MICROKIA）	42.0
578	ozhi	来电显示	1.56
578	oshi	来电显示	104.0
578	ozhi	Lime	0.24
578	oshi	高尔夫	43.72
578	ozhi	打电话	15.64
578	oshi	打电话	2.6
578	ozhi	信息	2.28
578	oshi	信息	1.92
578	ozhi	腕表	32.68
578	oshi	腕表	8.96
578	oshi	科比	0.08
578	ozhi	皮套	1.48
578	oshi	皮套	7258.08
578	ozhi	手腕	3.88
578	oshi	手腕	1.84
578	ozhi	钛合金	0.12
578	oshi	钛合金	3.32
578	ozhi	iBody	0.4
578	ozhi	null	42.6
578	oshi	null	717.44
578	ozhi	防尘	0.6
578	oshi	防尘	290.08
578	ozhi	Flex	3.12
578	oshi	Flex	6.4
578	ozhi	适用	9.04
578	oshi	适用	23148.32
578	ozhi	Waterproof	0.4
578	oshi	成熟	1.48
578	oshi	透明	1652.2
578	oshi	时尚手机	38.48
578	oshi	note	363.36
578	ozhi	连接	1.8
578	oshi	连接	16.44
578	ozhi	伴侣	19.36
578	oshi	伴侣	47.36
578	ozhi	支付	0.72
578	oshi	支付	8.48
578	ozhi	其他	6.8
578	oshi	其他	0.08
578	ozhi	粉色	8.48
578	oshi	粉色	1215.68
578	ozhi	白银	0.48
578	oshi	白银	6.72
578	ozhi	穿戴	43.48
578	oshi	穿戴	18.08
578	ozhi	取件	70.64
578	oshi	取件	3745.08
578	ozhi	红米	0.96
578	oshi	红米	829.68
578	ozhi	随机	1.6
578	oshi	随机	1307.68
578	ozhi	灰色	3.84
578	oshi	灰色	433.8
578	ozhi	樱桃	0.48
578	oshi	樱桃	37.28
578	oshi	黄橙	1.64
578	oshi	计量	1.32
578	ozhi	首发	3.64
578	oshi	首发	23.08
578	ozhi	智能手机	10.88
578	oshi	智能手机	131.52
578	ozhi	洗澡	0.48
578	oshi	洗澡	142.04
578	ozhi	浅蓝色	3.36
578	oshi	浅蓝色	186.6
578	oshi	手链	10.8
578	ozhi	Gauge	0.4
578	ozhi	D8	0.48
578	oshi	D8	3.48
578	ozhi	D6	0.6
578	oshi	D6	0.84
578	ozhi	D5	0.48
578	oshi	D5	1.2
578	ozhi	无线	132.76
578	oshi	无线	336.88
578	oshi	饰品	58.2
578	ozhi	蓝白色	0.56
578	oshi	蓝白色	5.52
578	oshi	威廉姆斯	0.24
578	ozhi	钢琴	1.72
578	oshi	钢琴	41.08
578	ozhi	无辐射	2.36
578	oshi	无辐射	18.04
578	ozhi	Phyode	1.4
578	oshi	凯斯	47.84
578	ozhi	W110	1.92
578	ozhi	Miroad	9.44
578	oshi	Miroad	23.76
578	ozhi	科技	4.4
578	oshi	科技	24.28
578	ozhi	认证	0.96
578	oshi	认证	99.8
578	ozhi	黑银	0.36
578	oshi	黑银	2.36
578	ozhi	热点	1.8
578	oshi	热点	0.08
578	oshi	Mov	0.16
578	ozhi	低功耗	0.84
578	oshi	低功耗	0.16
578	oshi	降噪	39.6
578	ozhi	彩色	10.12
578	oshi	彩色	758.28
578	ozhi	石墨	0.48
578	oshi	石墨	6.04
578	ozhi	设备	34.68
578	oshi	设备	36.96
578	ozhi	粉白色	0.32
578	oshi	粉白色	1.4
578	ozhi	Calories	0.88
578	oshi	打磨	5.48
578	ozhi	测试	1.08
578	oshi	测试	54.28
578	ozhi	高级	0.56
578	oshi	高级	320.4
578	ozhi	防辐射	2.44
578	oshi	防辐射	60.12
578	ozhi	追客	0.8
578	ozhi	动动手	1.2
578	oshi	动动手	0.96
578	ozhi	必备	6.12
578	oshi	必备	233.4
578	ozhi	报警	21.64
578	oshi	报警	28.56
578	ozhi	CM	0.36
578	oshi	CM	362.96
578	ozhi	礼品	1.84
578	oshi	礼品	174.08
578	ozhi	男人	0.6
578	oshi	男人	4.64
578	ozhi	Bluetooth	1.48
578	oshi	Bluetooth	7.72
578	ozhi	土豪	5.6
578	oshi	土豪	749.24
578	oshi	欧文	8.2
578	ozhi	湛海	0.36
578	ozhi	深度	2.24
578	oshi	深度	13.32
578	oshi	morething	26.6
578	ozhi	象牙白	1.44
578	oshi	象牙白	77.36
578	oshi	雷霆	0.36
578	ozhi	香槟金	3.12
578	oshi	香槟金	246.6
578	ozhi	现代	9.68
578	oshi	现代	33.24
578	ozhi	以上	0.16
578	oshi	以上	13.8
578	oshi	滕海体	0.04
578	ozhi	NFC	2.76
578	oshi	NFC	34.44
578	ozhi	Android	1.2
578	oshi	Android	2.24
578	ozhi	定位	4.68
