项目id	指数类型	关键词	权重
740	oshi	life	26.84
740	ozhi	预售	5.32
740	oshi	预售	28.44
740	oshi	惊喜	3.8
740	oshi	小姐	1.04
740	oshi	西安	0.24
740	ozhi	寻找	1.8
740	oshi	寻找	0.44
740	ozhi	红色	12.04
740	oshi	红色	1314.32
740	oshi	灵魂	0.4
740	oshi	爱丁堡	0.32
740	oshi	爷们儿	0.36
740	oshi	in	6.72
740	ozhi	赛尔	0.12
740	oshi	赛尔	4.16
740	ozhi	快乐	0.8
740	oshi	快乐	94.88
740	oshi	献礼	1.64
740	oshi	太阳	18.2
740	ozhi	童趣	0.12
740	oshi	童趣	10.16
740	ozhi	联合	0.6
740	oshi	联合	14.2
740	oshi	特殊	12.04
740	oshi	米兰	3.0
740	oshi	欧亚	0.24
740	ozhi	大象	0.12
740	oshi	大象	27.64
740	oshi	美丽	191.8
740	oshi	the	1.6
740	ozhi	跳舞	11.44
740	oshi	跳舞	1.44
740	oshi	嘉年华	39.24
740	ozhi	美人鱼	0.12
740	oshi	美人鱼	4.84
740	oshi	外国	0.36
740	oshi	Eternity	0.0
740	oshi	天籁	1.96
740	oshi	之前	0.84
740	oshi	地方	1.56
740	ozhi	小孩	3.36
740	oshi	小孩	27.32
740	oshi	胭脂	4.4
740	oshi	打开	0.56
740	oshi	成人	112.84
740	oshi	关系	0.12
740	oshi	火爆	1.92
740	oshi	激情	43.04
740	oshi	实验	2.64
740	oshi	情境	0.32
740	oshi	陈奕	0.56
740	oshi	总动员	5.08
740	oshi	龙凤呈祥	0.6
740	ozhi	生日快乐	0.0
740	oshi	生日快乐	1.12
740	oshi	恒大	0.24
740	oshi	五月	0.36
740	ozhi	时光	1.08
740	oshi	时光	26.8
740	ozhi	for	0.88
740	oshi	for	33.8
740	oshi	网球	0.72
740	ozhi	莲花	0.08
740	oshi	莲花	12.32
740	oshi	牵手	4.36
740	oshi	广场	0.8
740	oshi	深情	0.88
740	ozhi	经典	5.96
740	oshi	经典	457.12
740	oshi	和平	2.76
740	oshi	美女	22.48
740	oshi	重庆	0.64
740	ozhi	大屏幕	0.12
740	oshi	大屏幕	27.12
740	oshi	苏格兰	7.68
740	ozhi	人偶	0.0
740	oshi	人偶	0.24
740	oshi	真爱	5.76
740	oshi	重点	0.72
740	ozhi	熊出没	0.32
740	oshi	熊出没	11.64
740	ozhi	梦幻	0.24
740	oshi	梦幻	51.4
740	oshi	功夫	4.4
740	oshi	梦工场	0.0
740	ozhi	潮流	2.8
740	oshi	潮流	70.48
740	oshi	土耳其	0.6
740	oshi	心中	0.52
740	oshi	铃铛	0.0
740	ozhi	魔法	0.36
740	oshi	魔法	38.96
740	oshi	原版	3.36
740	oshi	繁花似锦	3.44
740	ozhi	绅士	0.52
740	oshi	绅士	76.76
740	oshi	星期二	0.24
740	oshi	梁祝	0.24
740	ozhi	旗舰版	0.0
740	oshi	旗舰版	6.28
740	ozhi	授权	0.36
740	oshi	授权	8.52
740	ozhi	小熊	0.96
740	oshi	小熊	212.8
740	oshi	极限	4.84
740	ozhi	精英	0.72
740	oshi	精英	21.48
740	oshi	温馨	15.08
740	oshi	聪明	5.24
740	oshi	SHOW	0.24
740	oshi	Life	60.12
740	oshi	世界	65.56
740	oshi	杰西	2.72
740	ozhi	情人节	0.24
740	oshi	情人节	220.72
740	oshi	胡桃	10.32
740	ozhi	时尚	20.88
740	oshi	时尚	1513.24
740	ozhi	旋转	0.8
740	oshi	旋转	411.0
740	oshi	炫幻	0.24
740	oshi	美妙	1.88
740	oshi	专场	2.16
740	oshi	菊花	6.52
740	oshi	回来	0.6
740	oshi	韩版	369.44
740	oshi	最好	1.2
740	oshi	朵拉	0.56
740	oshi	比利时	2.48
740	oshi	呈现	0.0
740	oshi	别离	0.0
740	oshi	感恩回馈	0.16
740	oshi	爱丽丝	3.68
740	oshi	殷桃	0.72
740	oshi	仲夏	0.56
740	oshi	简爱	4.0
740	oshi	洛克	181.56
740	oshi	桃花	4.96
740	oshi	肚子	3.84
740	oshi	暗恋	0.12
740	oshi	Red	11.4
740	oshi	SO	0.24
740	ozhi	皇冠	0.12
740	oshi	皇冠	187.88
740	oshi	潮人	5.84
740	oshi	丹麦	7.76
740	ozhi	My	3.36
740	oshi	My	0.96
740	ozhi	个人	1.84
740	oshi	个人	13.96
740	oshi	百老汇	0.96
740	oshi	姑娘	3.0
740	oshi	乡村	14.48
740	oshi	霓裳	0.12
740	oshi	Dear	0.24
740	oshi	香港	11.68
740	ozhi	银行	4.12
740	oshi	银行	17.64
740	oshi	力量	2.24
740	ozhi	先生	0.0
740	oshi	先生	9.48
740	oshi	电台	0.6
740	oshi	公馆	0.32
740	oshi	奇遇记	0.24
740	ozhi	精灵	9.68
740	oshi	精灵	28.88
740	oshi	live	0.12
740	oshi	拇指	1.4
740	oshi	纯正	8.56
740	oshi	喜洋洋	2.0
740	oshi	故乡	0.0
740	oshi	山谷	1.88
740	ozhi	先锋	1.2
740	oshi	先锋	25.16
740	ozhi	迪士尼	5.88
740	oshi	迪士尼	196.88
740	ozhi	Time	0.0
740	oshi	Time	2.04
740	oshi	广州	1.2
740	oshi	波士顿	1.04
740	oshi	天鹅湖	1.48
740	ozhi	英双语	0.24
740	oshi	英双语	0.08
740	oshi	凯蒂	19.36
740	oshi	Children	0.8
740	ozhi	卡通	0.6
740	oshi	卡通	1682.12
740	oshi	糖果屋	0.32
740	oshi	ERA	0.72
740	oshi	寓言	3.0
740	oshi	舞动	2.32
740	oshi	终极	0.8
740	oshi	满天	2.64
740	oshi	澳大利亚	6.72
740	oshi	影视	0.12
740	oshi	日日	0.48
740	ozhi	朋友	0.72
740	oshi	朋友	10.0
740	oshi	北极	0.12
740	oshi	贪吃	0.68
740	oshi	小提琴	3.44
740	oshi	World	0.4
740	ozhi	青春	4.68
740	oshi	青春	127.24
740	oshi	攻略	0.24
740	oshi	FAMILY	0.0
740	oshi	致敬	0.24
740	oshi	燕子	0.12
740	oshi	非常	12.6
740	ozhi	学校	0.24
740	oshi	学校	2.08
740	oshi	乐汇	14.56
740	oshi	王国	4.52
740	oshi	穆斯	0.12
740	ozhi	浓情	0.08
740	oshi	浓情	6.08
740	oshi	影子	1.44
740	oshi	青岛	0.24
740	oshi	最后	5.44
740	oshi	杂技	0.0
740	oshi	爱家	0.72
740	oshi	悉尼	1.64
740	oshi	贝尔	2.84
740	oshi	精神	1.72
740	oshi	全部	2.64
740	oshi	永远	0.08
740	oshi	女王	4.92
740	oshi	戏曲	0.36
740	oshi	盗墓	0.32
740	oshi	北京	22.24
740	oshi	国王	5.52
740	oshi	遇见	2.84
740	ozhi	浪漫	0.12
740	oshi	浪漫	224.52
740	oshi	春江花月夜	0.12
740	ozhi	马尔斯	0.36
740	oshi	佳节	0.08
740	oshi	歌声	0.12
740	oshi	邂逅	9.48
740	oshi	名家	0.72
740	oshi	Love	11.56
740	oshi	好莱坞	0.12
740	oshi	二十世纪	0.0
740	oshi	朱丽叶	0.12
740	ozhi	三大	0.16
740	oshi	三大	2.0
740	oshi	恋爱	3.36
740	oshi	京剧	11.04
740	oshi	高富帅	2.84
740	oshi	影像	4.12
740	ozhi	互动	8.88
740	oshi	互动	0.48
740	oshi	悲喜	0.36
740	oshi	月光	11.64
740	ozhi	城市印象	0.72
740	oshi	城市印象	0.96
740	oshi	亚洲	0.8
740	oshi	光年	4.08
740	oshi	男子	0.6
740	oshi	团队	0.36
740	oshi	威廉姆斯	0.24
740	ozhi	钢琴	1.72
740	oshi	钢琴	41.08
740	ozhi	怀旧	0.12
740	oshi	怀旧	3.64
740	oshi	献给	0.08
740	oshi	镜花水月	0.0
740	ozhi	阳台	0.6
740	oshi	阳台	27.48
740	oshi	幽灵	0.36
740	oshi	难忘	0.64
740	oshi	茶花女	0.48
740	oshi	博览会	0.2
740	ozhi	生活	4.88
740	oshi	生活	199.92
740	ozhi	教会	0.0
740	oshi	花好月圆	0.64
740	oshi	母亲节	17.08
740	oshi	德比	0.6
740	oshi	芭蕾	41.36
740	oshi	西班牙	4.12
740	ozhi	现代	9.68
740	oshi	现代	33.24
740	ozhi	暗黑	0.0
740	oshi	暗黑	0.08
740	oshi	夏日	85.44
740	oshi	精彩	4.32
740	oshi	明天	1.12
740	ozhi	新版	0.36
740	oshi	新版	9.12
740	ozhi	故事	3.84
740	oshi	故事	17.16
740	oshi	红灯笼	0.12
740	ozhi	特色	0.0
740	oshi	特色	41.52
740	oshi	小魔仙	0.0
740	ozhi	维特	0.12
740	oshi	维特	0.12
740	oshi	火烧	0.0
740	oshi	维也纳	0.0
740	oshi	活动	36.16
740	oshi	Electric	0.64
740	oshi	榴莲	0.12
740	oshi	战马	0.96
740	oshi	风之谷	0.08
740	ozhi	糖果	0.6
740	oshi	糖果	100.92
740	oshi	夏季	119.04
740	oshi	台湾	80.68
740	oshi	物语	93.04
740	oshi	热情	6.52
740	ozhi	品牌	11.88
740	oshi	品牌	137.12
740	oshi	情迷	2.28
740	oshi	犀牛	0.08
740	ozhi	对话	41.08
740	oshi	对话	0.12
740	oshi	皮皮	1.0
740	oshi	英雄	120.12
740	oshi	巴洛克	1.72
740	oshi	温州	0.36
740	oshi	晚餐	0.72
740	oshi	笔记	11.4
740	ozhi	昆虫	0.32
740	oshi	昆虫	1.96
740	oshi	草原	10.36
740	ozhi	瞌睡	0.16
740	oshi	瞌睡	22.92
740	oshi	泡泡	120.92
740	oshi	火力	0.24
740	oshi	怒放	1.52
740	ozhi	商品	0.64
740	oshi	商品	26.32
740	ozhi	口袋	0.24
740	oshi	口袋	20.36
740	ozhi	II	0.08
740	oshi	II	66.4
740	ozhi	卡通动漫	0.24
740	oshi	卡通动漫	10.2
740	ozhi	模仿	0.4
740	oshi	模仿	0.08
740	oshi	莎士比亚	0.72
740	oshi	印象派	1.28
740	ozhi	知道	0.48
740	oshi	知道	2.4
740	oshi	家族	5.48
740	oshi	艰难	0.0
740	oshi	In	2.72
740	oshi	福州	0.0
740	oshi	玉堂春	0.0
740	ozhi	七夕	6.64
740	oshi	七夕	19.76
740	oshi	导演	1.8
740	oshi	太原	2.44
740	oshi	古典	114.88
740	oshi	亚当	0.0
740	ozhi	火线	0.24
740	oshi	火线	0.08
740	oshi	Tour	0.08
740	oshi	二胡	0.12
